begin timestamp : 1700706235.1248977; tag : query; duration : 0.13596725463867188; package_0 : 7458705.0; package_1 : 8571746.0; core_0 : 381.0; core_1 : 0.0; nvidia_gpu_0 : 6048
begin timestamp : 1700706235.2637458; tag : query; duration : 0.15143179893493652; package_0 : 8264785.0; package_1 : 9517345.0; core_0 : 168.0; core_1 : 0.0; nvidia_gpu_0 : 6718
begin timestamp : 1700706235.4181411; tag : query; duration : 0.1478121280670166; package_0 : 8098550.0; package_1 : 9344869.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6875
begin timestamp : 1700706235.5696578; tag : query; duration : 0.13945579528808594; package_0 : 7609195.0; package_1 : 8780201.0; core_0 : 412.0; core_1 : 0.0; nvidia_gpu_0 : 6435
begin timestamp : 1700706235.712036; tag : query; duration : 0.1144099235534668; package_0 : 6300440.0; package_1 : 7246192.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 5389
begin timestamp : 1700706235.8301804; tag : query; duration : 0.06672501564025879; package_0 : 3678017.0; package_1 : 4222865.0; core_0 : 0.0; core_1 : 671.0; nvidia_gpu_0 : 3184
begin timestamp : 1700706235.8997624; tag : query; duration : 0.10728096961975098; package_0 : 5862337.0; package_1 : 6749727.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 5061
begin timestamp : 1700706236.0107453; tag : query; duration : 0.1552140712738037; package_0 : 8493366.0; package_1 : 9783140.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7255
begin timestamp : 1700706236.1711876; tag : query; duration : 0.12336611747741699; package_0 : 6749071.0; package_1 : 7761440.0; core_0 : 489.0; core_1 : 0.0; nvidia_gpu_0 : 5714
begin timestamp : 1700706236.2974389; tag : query; duration : 0.15425467491149902; package_0 : 8439291.0; package_1 : 9699373.0; core_0 : 2471.0; core_1 : 0.0; nvidia_gpu_0 : 7179
begin timestamp : 1700706236.4545448; tag : query; duration : 0.13881921768188477; package_0 : 7609790.0; package_1 : 8771016.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6414
begin timestamp : 1700706236.596194; tag : query; duration : 0.18211984634399414; package_0 : 9961048.0; package_1 : 11494462.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 8390
begin timestamp : 1700706236.7814617; tag : query; duration : 0.11495614051818848; package_0 : 6310281.0; package_1 : 7251685.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 5353
begin timestamp : 1700706236.8992677; tag : query; duration : 0.12282395362854004; package_0 : 6740999.0; package_1 : 7760005.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 5707
begin timestamp : 1700706237.02497; tag : query; duration : 0.16306304931640625; package_0 : 8924496.0; package_1 : 10290636.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7606
begin timestamp : 1700706237.192996; tag : query; duration : 0.13195157051086426; package_0 : 7232460.0; package_1 : 8458150.0; core_0 : 1114.0; core_1 : 0.0; nvidia_gpu_0 : 6140
begin timestamp : 1700706237.3278112; tag : query; duration : 0.17780041694641113; package_0 : 9744582.0; package_1 : 11306178.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7992
begin timestamp : 1700706237.5085745; tag : query; duration : 0.16035246849060059; package_0 : 8814196.0; package_1 : 10154916.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7237
begin timestamp : 1700706237.6738956; tag : query; duration : 0.13876867294311523; package_0 : 7620791.0; package_1 : 8766912.0; core_0 : 366.0; core_1 : 0.0; nvidia_gpu_0 : 6406
begin timestamp : 1700706237.8155038; tag : query; duration : 0.13880014419555664; package_0 : 7555625.0; package_1 : 8707603.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6443
