begin timestamp : 1700707905.8063796; tag : query_2; duration : 0.12653183937072754; package_0 : 6946556.0; package_1 : 8019132.0; core_0 : 0.0; core_1 : 1312.0; nvidia_gpu_0 : 5873
begin timestamp : 1700707905.9357853; tag : query_2; duration : 0.1405947208404541; package_0 : 7713514.0; package_1 : 8906232.0; core_0 : 0.0; core_1 : 137.0; nvidia_gpu_0 : 6466
begin timestamp : 1700707906.0792394; tag : query_2; duration : 0.14911246299743652; package_0 : 8146994.0; package_1 : 9417436.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6842
begin timestamp : 1700707906.2312603; tag : query_2; duration : 0.16168498992919922; package_0 : 8860687.0; package_1 : 10212576.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7238
begin timestamp : 1700707906.3958313; tag : query_2; duration : 0.15075111389160156; package_0 : 8218554.0; package_1 : 9487668.0; core_0 : 3692.0; core_1 : 0.0; nvidia_gpu_0 : 6971
begin timestamp : 1700707906.549454; tag : query_2; duration : 0.1516120433807373; package_0 : 8277205.0; package_1 : 9542109.0; core_0 : 412.0; core_1 : 0.0; nvidia_gpu_0 : 7013
begin timestamp : 1700707906.7039616; tag : query_2; duration : 0.1585094928741455; package_0 : 8647365.0; package_1 : 9986300.0; core_0 : 351.0; core_1 : 0.0; nvidia_gpu_0 : 7293
begin timestamp : 1700707906.8653684; tag : query_2; duration : 0.15793943405151367; package_0 : 8643229.0; package_1 : 9973041.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7302
begin timestamp : 1700707907.0261734; tag : query_2; duration : 0.15845632553100586; package_0 : 8642208.0; package_1 : 9985629.0; core_0 : 214.0; core_1 : 0.0; nvidia_gpu_0 : 7315
begin timestamp : 1700707907.1876235; tag : query_2; duration : 0.18088984489440918; package_0 : 9896934.0; package_1 : 11435764.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7852
begin timestamp : 1700707907.3693042; tag : query_2; duration : 0.15009808540344238; package_0 : 8201144.0; package_1 : 9478636.0; core_0 : 0.0; core_1 : 1435.0; nvidia_gpu_0 : 7368
begin timestamp : 1700707907.5222704; tag : query_2; duration : 0.11889171600341797; package_0 : 6512038.0; package_1 : 7512109.0; core_0 : 46.0; core_1 : 0.0; nvidia_gpu_0 : 5587
begin timestamp : 1700707907.6440523; tag : query_2; duration : 0.14268255233764648; package_0 : 7789347.0; package_1 : 9109285.0; core_0 : 1404.0; core_1 : 0.0; nvidia_gpu_0 : 6602
begin timestamp : 1700707907.7898111; tag : query_2; duration : 0.13833022117614746; package_0 : 7552801.0; package_1 : 8730872.0; core_0 : 382.0; core_1 : 488.0; nvidia_gpu_0 : 6416
begin timestamp : 1700707907.9312637; tag : query_2; duration : 0.1397843360900879; package_0 : 7662903.0; package_1 : 8832704.0; core_0 : 0.0; core_1 : 15.0; nvidia_gpu_0 : 6471
begin timestamp : 1700707908.073892; tag : query_2; duration : 0.15503668785095215; package_0 : 8420494.0; package_1 : 9720078.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6970
begin timestamp : 1700707908.2318823; tag : query_2; duration : 0.14220046997070312; package_0 : 7766093.0; package_1 : 8970606.0; core_0 : 763.0; core_1 : 0.0; nvidia_gpu_0 : 6668
begin timestamp : 1700707908.3798003; tag : query_2; duration : 0.15734124183654785; package_0 : 8585860.0; package_1 : 9915457.0; core_0 : 366.0; core_1 : 16.0; nvidia_gpu_0 : 7283
begin timestamp : 1700707908.5402603; tag : query_2; duration : 0.16552448272705078; package_0 : 9025839.0; package_1 : 10420146.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7670
begin timestamp : 1700707908.7086875; tag : query_2; duration : 0.1345386505126953; package_0 : 7328326.0; package_1 : 8461019.0; core_0 : 30.0; core_1 : 0.0; nvidia_gpu_0 : 6272
begin timestamp : 1700707908.8461325; tag : query_2; duration : 0.1260678768157959; package_0 : 6890101.0; package_1 : 7944246.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 5884
begin timestamp : 1700707908.975043; tag : query_2; duration : 0.14227914810180664; package_0 : 7764522.0; package_1 : 8969781.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6654
begin timestamp : 1700707909.1213803; tag : query_2; duration : 0.15776395797729492; package_0 : 8640681.0; package_1 : 9976001.0; core_0 : 244.0; core_1 : 168.0; nvidia_gpu_0 : 7333
begin timestamp : 1700707909.2820837; tag : query_2; duration : 0.11927413940429688; package_0 : 6507323.0; package_1 : 7587254.0; core_0 : 15.0; core_1 : 0.0; nvidia_gpu_0 : 5560
begin timestamp : 1700707909.4041805; tag : query_2; duration : 0.14201760292053223; package_0 : 7766611.0; package_1 : 8964106.0; core_0 : 0.0; core_1 : 275.0; nvidia_gpu_0 : 6629
begin timestamp : 1700707909.5491304; tag : query_2; duration : 0.1419820785522461; package_0 : 7767802.0; package_1 : 8967172.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6578
begin timestamp : 1700707909.693995; tag : query_2; duration : 0.11910486221313477; package_0 : 6452059.0; package_1 : 7462490.0; core_0 : 839.0; core_1 : 0.0; nvidia_gpu_0 : 5558
begin timestamp : 1700707909.8159661; tag : query_2; duration : 0.13424301147460938; package_0 : 7328692.0; package_1 : 8454580.0; core_0 : 92.0; core_1 : 473.0; nvidia_gpu_0 : 6237
begin timestamp : 1700707909.9531364; tag : query_2; duration : 0.13375449180603027; package_0 : 7328722.0; package_1 : 8452108.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6228
begin timestamp : 1700707910.0897493; tag : query_2; duration : 0.14977478981018066; package_0 : 8145850.0; package_1 : 9410646.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6967
begin timestamp : 1700707910.2432985; tag : query_2; duration : 0.14220714569091797; package_0 : 7769343.0; package_1 : 8970255.0; core_0 : 503.0; core_1 : 0.0; nvidia_gpu_0 : 6636
begin timestamp : 1700707910.388367; tag : query_2; duration : 0.15019845962524414; package_0 : 8213305.0; package_1 : 9475187.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7107
begin timestamp : 1700707910.543841; tag : query_2; duration : 0.1828768253326416; package_0 : 9982242.0; package_1 : 11516235.0; core_0 : 489.0; core_1 : 0.0; nvidia_gpu_0 : 8407
begin timestamp : 1700707910.7295704; tag : query_2; duration : 0.12712764739990234; package_0 : 6946540.0; package_1 : 8027951.0; core_0 : 427.0; core_1 : 0.0; nvidia_gpu_0 : 5933
begin timestamp : 1700707910.8595946; tag : query_2; duration : 0.14815640449523926; package_0 : 8097985.0; package_1 : 9322471.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6621
begin timestamp : 1700707911.0107565; tag : query_2; duration : 0.1498405933380127; package_0 : 8149145.0; package_1 : 9410296.0; core_0 : 427.0; core_1 : 0.0; nvidia_gpu_0 : 6994
begin timestamp : 1700707911.1651354; tag : query_2; duration : 0.11934924125671387; package_0 : 6517699.0; package_1 : 7518273.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 5558
begin timestamp : 1700707911.2874599; tag : query_2; duration : 0.1501789093017578; package_0 : 8202228.0; package_1 : 9486402.0; core_0 : 320.0; core_1 : 1587.0; nvidia_gpu_0 : 6955
begin timestamp : 1700707911.4405036; tag : query_2; duration : 0.17070460319519043; package_0 : 9299095.0; package_1 : 10724605.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7678
begin timestamp : 1700707911.614089; tag : query_2; duration : 0.1264345645904541; package_0 : 6919488.0; package_1 : 7955216.0; core_0 : 274.0; core_1 : 0.0; nvidia_gpu_0 : 5987
begin timestamp : 1700707911.74603; tag : query_2; duration : 0.14182734489440918; package_0 : 7710615.0; package_1 : 8904233.0; core_0 : 92.0; core_1 : 0.0; nvidia_gpu_0 : 6595
begin timestamp : 1700707911.8906686; tag : query_2; duration : 0.1212615966796875; package_0 : 6623391.0; package_1 : 7628863.0; core_0 : 107.0; core_1 : 46.0; nvidia_gpu_0 : 5642
begin timestamp : 1700707912.0148294; tag : query_2; duration : 0.13438177108764648; package_0 : 7347505.0; package_1 : 8457876.0; core_0 : 396.0; core_1 : 0.0; nvidia_gpu_0 : 6231
