begin timestamp : 1692662515.0479255; tag : query; duration : 0.003740549087524414; package_0 : 502074.0; core_0 : 496092.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.0521352; tag : query; duration : 0.005110740661621094; package_0 : 671079.0; core_0 : 663328.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.0587556; tag : query; duration : 0.00404667854309082; package_0 : 429747.0; core_0 : 423766.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.0633657; tag : query; duration : 0.0036504268646240234; package_0 : 491942.0; core_0 : 485900.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.0674798; tag : query; duration : 0.0036308765411376953; package_0 : 388671.0; core_0 : 384093.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.071581; tag : query; duration : 0.0036551952362060547; package_0 : 370849.0; core_0 : 366393.0; uncore_0 : 0.0; nvidia_gpu_0 : 1456
begin timestamp : 1692662515.0794377; tag : query; duration : 0.00391387939453125; package_0 : 351500.0; core_0 : 345580.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.0839007; tag : query; duration : 0.0036940574645996094; package_0 : 502867.0; core_0 : 496764.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.088062; tag : query; duration : 0.0036652088165283203; package_0 : 514892.0; core_0 : 508787.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.0922208; tag : query; duration : 0.003701448440551758; package_0 : 461058.0; core_0 : 455321.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.0987504; tag : query; duration : 0.003786802291870117; package_0 : 316771.0; core_0 : 397216.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.1030042; tag : query; duration : 0.003693103790283203; package_0 : 379027.0; core_0 : 374511.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.1071737; tag : query; duration : 0.0039331912994384766; package_0 : 449156.0; core_0 : 443542.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.1115742; tag : query; duration : 0.0036373138427734375; package_0 : 519714.0; core_0 : 513487.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.118622; tag : query; duration : 0.0037703514099121094; package_0 : 285217.0; core_0 : 280639.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.1228733; tag : query; duration : 0.003931283950805664; package_0 : 481017.0; core_0 : 475157.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.127286; tag : query; duration : 0.003677845001220703; package_0 : 537230.0; core_0 : 530883.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.131423; tag : query; duration : 0.0037412643432617188; package_0 : 491881.0; core_0 : 485899.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.1389797; tag : query; duration : 0.004166364669799805; package_0 : 346861.0; core_0 : 340637.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
