begin timestamp : 1709514717.8901093; tag : query_2; duration : 0.06201028823852539; package_0 : 3600211.0; package_1 : 3542411.0; dram_0 : 633818.0; dram_1 : 603891.0
begin timestamp : 1709514717.9528131; tag : query_2; duration : 0.06652998924255371; package_0 : 3918019.0; package_1 : 3896230.0; dram_0 : 693319.0; dram_1 : 640749.0
begin timestamp : 1709514718.0200007; tag : query_2; duration : 0.06608390808105469; package_0 : 3894338.0; package_1 : 3840078.0; dram_0 : 690474.0; dram_1 : 642217.0
begin timestamp : 1709514718.0867326; tag : query_2; duration : 0.0632786750793457; package_0 : 3698721.0; package_1 : 3628592.0; dram_0 : 655681.0; dram_1 : 587841.0
begin timestamp : 1709514718.150664; tag : query_2; duration : 0.06921839714050293; package_0 : 4098256.0; package_1 : 4045278.0; dram_0 : 694850.0; dram_1 : 647434.0
begin timestamp : 1709514718.2205462; tag : query_2; duration : 0.06441831588745117; package_0 : 3831716.0; package_1 : 3751272.0; dram_0 : 662199.0; dram_1 : 623965.0
begin timestamp : 1709514718.2856104; tag : query_2; duration : 0.06311202049255371; package_0 : 3720572.0; package_1 : 3648916.0; dram_0 : 652836.0; dram_1 : 610240.0
begin timestamp : 1709514718.34938; tag : query_2; duration : 0.06175947189331055; package_0 : 3616141.0; package_1 : 3503104.0; dram_0 : 636893.0; dram_1 : 591988.0
begin timestamp : 1709514718.4118297; tag : query_2; duration : 0.0633392333984375; package_0 : 3696462.0; package_1 : 3621207.0; dram_0 : 644895.0; dram_1 : 611358.0
begin timestamp : 1709514718.4758146; tag : query_2; duration : 0.06682395935058594; package_0 : 3860097.0; package_1 : 3746023.0; dram_0 : 681094.0; dram_1 : 626305.0
begin timestamp : 1709514718.543413; tag : query_2; duration : 0.06114983558654785; package_0 : 3426383.0; package_1 : 3379691.0; dram_0 : 632349.0; dram_1 : 598888.0
begin timestamp : 1709514718.6052363; tag : query_2; duration : 0.06520366668701172; package_0 : 3825369.0; package_1 : 3770559.0; dram_0 : 660471.0; dram_1 : 632380.0
begin timestamp : 1709514718.671103; tag : query_2; duration : 0.06589365005493164; package_0 : 3787832.0; package_1 : 3762075.0; dram_0 : 663531.0; dram_1 : 616330.0
begin timestamp : 1709514718.737644; tag : query_2; duration : 0.06468963623046875; package_0 : 3678701.0; package_1 : 3626639.0; dram_0 : 654151.0; dram_1 : 620736.0
begin timestamp : 1709514718.8029945; tag : query_2; duration : 0.06654191017150879; package_0 : 3912710.0; package_1 : 3831106.0; dram_0 : 686496.0; dram_1 : 622435.0
begin timestamp : 1709514718.8701835; tag : query_2; duration : 0.07146716117858887; package_0 : 4077627.0; package_1 : 3984854.0; dram_0 : 737032.0; dram_1 : 651566.0
begin timestamp : 1709514718.9423056; tag : query_2; duration : 0.06943893432617188; package_0 : 3871877.0; package_1 : 3795034.0; dram_0 : 714678.0; dram_1 : 652714.0
begin timestamp : 1709514719.0124018; tag : query_2; duration : 0.06717205047607422; package_0 : 3921254.0; package_1 : 3839407.0; dram_0 : 686511.0; dram_1 : 642707.0
begin timestamp : 1709514719.0802488; tag : query_2; duration : 0.06913375854492188; package_0 : 4039297.0; package_1 : 3977163.0; dram_0 : 735028.0; dram_1 : 636510.0
begin timestamp : 1709514719.150033; tag : query_2; duration : 0.07378315925598145; package_0 : 4261281.0; package_1 : 4139211.0; dram_0 : 747649.0; dram_1 : 680590.0
begin timestamp : 1709514719.2244706; tag : query_2; duration : 0.06334590911865234; package_0 : 3705130.0; package_1 : 3628225.0; dram_0 : 661649.0; dram_1 : 611541.0
begin timestamp : 1709514719.2884903; tag : query_2; duration : 0.05919051170349121; package_0 : 3393546.0; package_1 : 3323722.0; dram_0 : 618028.0; dram_1 : 571670.0
begin timestamp : 1709514719.3483455; tag : query_2; duration : 0.05711770057678223; package_0 : 3300834.0; package_1 : 3186638.0; dram_0 : 600815.0; dram_1 : 573352.0
begin timestamp : 1709514719.406183; tag : query_2; duration : 0.06372547149658203; package_0 : 3757558.0; package_1 : 3676688.0; dram_0 : 681003.0; dram_1 : 603111.0
begin timestamp : 1709514719.4705625; tag : query_2; duration : 0.06668877601623535; package_0 : 3852774.0; package_1 : 3753164.0; dram_0 : 683436.0; dram_1 : 623567.0
begin timestamp : 1709514719.5379362; tag : query_2; duration : 0.08447742462158203; package_0 : 4588428.0; package_1 : 4493946.0; dram_0 : 785808.0; dram_1 : 726658.0
begin timestamp : 1709514719.623083; tag : query_2; duration : 0.0639348030090332; package_0 : 3738333.0; package_1 : 3664175.0; dram_0 : 656370.0; dram_1 : 599454.0
begin timestamp : 1709514719.6876817; tag : query_2; duration : 0.06441807746887207; package_0 : 3793691.0; package_1 : 3715017.0; dram_0 : 685899.0; dram_1 : 612413.0
begin timestamp : 1709514719.7528179; tag : query_2; duration : 0.06699299812316895; package_0 : 3958364.0; package_1 : 3865408.0; dram_0 : 712781.0; dram_1 : 602651.0
begin timestamp : 1709514719.8204756; tag : query_2; duration : 0.06612539291381836; package_0 : 3894399.0; package_1 : 3817861.0; dram_0 : 689495.0; dram_1 : 605054.0
begin timestamp : 1709514719.8872483; tag : query_2; duration : 0.07843494415283203; package_0 : 4590992.0; package_1 : 4553638.0; dram_0 : 765092.0; dram_1 : 708344.0
begin timestamp : 1709514719.9663374; tag : query_2; duration : 0.08731722831726074; package_0 : 4689441.0; package_1 : 4640980.0; dram_0 : 835870.0; dram_1 : 743198.0
begin timestamp : 1709514720.0543082; tag : query_2; duration : 0.0660853385925293; package_0 : 3899892.0; package_1 : 3834585.0; dram_0 : 686220.0; dram_1 : 597526.0
begin timestamp : 1709514720.1210701; tag : query_2; duration : 0.08335280418395996; package_0 : 4513294.0; package_1 : 4491322.0; dram_0 : 801919.0; dram_1 : 729626.0
begin timestamp : 1709514720.2050912; tag : query_2; duration : 0.06616902351379395; package_0 : 3911489.0; package_1 : 3836477.0; dram_0 : 690535.0; dram_1 : 607395.0
begin timestamp : 1709514720.2719247; tag : query_2; duration : 0.0829920768737793; package_0 : 4532703.0; package_1 : 4443897.0; dram_0 : 798323.0; dram_1 : 731003.0
begin timestamp : 1709514720.3555942; tag : query_2; duration : 0.06611895561218262; package_0 : 3894217.0; package_1 : 3831961.0; dram_0 : 679197.0; dram_1 : 612551.0
begin timestamp : 1709514720.4223692; tag : query_2; duration : 0.08383464813232422; package_0 : 4285328.0; package_1 : 4031484.0; dram_0 : 785778.0; dram_1 : 719697.0
begin timestamp : 1709514720.5069325; tag : query_2; duration : 0.060193538665771484; package_0 : 3450919.0; package_1 : 3384879.0; dram_0 : 644344.0; dram_1 : 578477.0
begin timestamp : 1709514720.567803; tag : query_2; duration : 0.09077072143554688; package_0 : 5184984.0; package_1 : 5146716.0; dram_0 : 869331.0; dram_1 : 781355.0
