begin timestamp : 1700709288.7068157; tag : query; duration : 0.9473316669464111; package_0 : 83611368.0; package_1 : 81588645.0; core_0 : 553789.0; core_1 : 588928.0; nvidia_gpu_0 : 23370
begin timestamp : 1700709289.6672163; tag : query; duration : 1.2361135482788086; package_0 : 107927829.0; package_1 : 107136626.0; core_0 : 713754.0; core_1 : 752967.0; nvidia_gpu_0 : 30281
begin timestamp : 1700709290.910002; tag : query; duration : 0.7383882999420166; package_0 : 65422032.0; package_1 : 63687929.0; core_0 : 427559.0; core_1 : 460379.0; nvidia_gpu_0 : 18088
begin timestamp : 1700709291.6529446; tag : query; duration : 0.8247287273406982; package_0 : 72834032.0; package_1 : 70613444.0; core_0 : 476782.0; core_1 : 507863.0; nvidia_gpu_0 : 20154
begin timestamp : 1700709292.4808433; tag : query; duration : 1.1091670989990234; package_0 : 96757783.0; package_1 : 94420059.0; core_0 : 643109.0; core_1 : 669170.0; nvidia_gpu_0 : 26796
begin timestamp : 1700709293.5976202; tag : query; duration : 0.8657829761505127; package_0 : 76455427.0; package_1 : 74036286.0; core_0 : 508046.0; core_1 : 536868.0; nvidia_gpu_0 : 21454
begin timestamp : 1700709294.4789164; tag : query; duration : 1.1882870197296143; package_0 : 103779408.0; package_1 : 102876760.0; core_0 : 699930.0; core_1 : 721841.0; nvidia_gpu_0 : 29281
begin timestamp : 1700709295.6819952; tag : query; duration : 1.0189313888549805; package_0 : 89599797.0; package_1 : 87102002.0; core_0 : 605529.0; core_1 : 632444.0; nvidia_gpu_0 : 24901
begin timestamp : 1700709296.704988; tag : query; duration : 0.9466099739074707; package_0 : 83519500.0; package_1 : 81388232.0; core_0 : 562623.0; core_1 : 587402.0; nvidia_gpu_0 : 23422
begin timestamp : 1700709297.667268; tag : query; duration : 0.9336967468261719; package_0 : 83005229.0; package_1 : 81146698.0; core_0 : 556582.0; core_1 : 580613.0; nvidia_gpu_0 : 22939
begin timestamp : 1700709298.6095884; tag : query; duration : 0.8148002624511719; package_0 : 72069561.0; package_1 : 69856861.0; core_0 : 472434.0; core_1 : 504476.0; nvidia_gpu_0 : 20038
begin timestamp : 1700709299.43284; tag : query; duration : 1.2358999252319336; package_0 : 107923084.0; package_1 : 107274024.0; core_0 : 725152.0; core_1 : 758353.0; nvidia_gpu_0 : 30307
begin timestamp : 1700709300.677743; tag : query; duration : 1.0890471935272217; package_0 : 95443016.0; package_1 : 93969902.0; core_0 : 623396.0; core_1 : 656567.0; nvidia_gpu_0 : 26902
begin timestamp : 1700709301.7816958; tag : query; duration : 1.0579619407653809; package_0 : 92588932.0; package_1 : 89671967.0; core_0 : 608977.0; core_1 : 644178.0; nvidia_gpu_0 : 25936
begin timestamp : 1700709302.847337; tag : query; duration : 0.8704273700714111; package_0 : 76672060.0; package_1 : 74987302.0; core_0 : 499502.0; core_1 : 535388.0; nvidia_gpu_0 : 21510
begin timestamp : 1700709303.7310476; tag : query; duration : 0.973818302154541; package_0 : 85343716.0; package_1 : 83307139.0; core_0 : 562715.0; core_1 : 592881.0; nvidia_gpu_0 : 23935
begin timestamp : 1700709304.7145855; tag : query; duration : 0.9916543960571289; package_0 : 86702532.0; package_1 : 86143342.0; core_0 : 578095.0; core_1 : 606048.0; nvidia_gpu_0 : 24430
begin timestamp : 1700709305.7181149; tag : query; duration : 1.1013591289520264; package_0 : 96351051.0; package_1 : 94631138.0; core_0 : 646771.0; core_1 : 672222.0; nvidia_gpu_0 : 26886
begin timestamp : 1700709306.8225675; tag : query; duration : 1.0683486461639404; package_0 : 94076205.0; package_1 : 93219300.0; core_0 : 647046.0; core_1 : 671093.0; nvidia_gpu_0 : 26398
begin timestamp : 1700709307.9064887; tag : query; duration : 1.0443477630615234; package_0 : 91793562.0; package_1 : 90751090.0; core_0 : 610793.0; core_1 : 649701.0; nvidia_gpu_0 : 25494
begin timestamp : 1700709308.9539804; tag : query; duration : 1.1124584674835205; package_0 : 97642076.0; package_1 : 96658286.0; core_0 : 644360.0; core_1 : 686916.0; nvidia_gpu_0 : 27266
begin timestamp : 1700709310.0743916; tag : query; duration : 1.106433629989624; package_0 : 97099380.0; package_1 : 96137576.0; core_0 : 656659.0; core_1 : 682582.0; nvidia_gpu_0 : 27010
begin timestamp : 1700709311.1839757; tag : query; duration : 1.1121411323547363; package_0 : 97967468.0; package_1 : 97321353.0; core_0 : 654202.0; core_1 : 678859.0; nvidia_gpu_0 : 26837
begin timestamp : 1700709312.301288; tag : query; duration : 1.2761363983154297; package_0 : 111848372.0; package_1 : 110125164.0; core_0 : 771353.0; core_1 : 795385.0; nvidia_gpu_0 : 31313
begin timestamp : 1700709313.587692; tag : query; duration : 1.0815823078155518; package_0 : 95149971.0; package_1 : 94042271.0; core_0 : 652111.0; core_1 : 678752.0; nvidia_gpu_0 : 26425
begin timestamp : 1700709314.6729677; tag : query; duration : 0.7973506450653076; package_0 : 70825149.0; package_1 : 68508756.0; core_0 : 472236.0; core_1 : 503072.0; nvidia_gpu_0 : 19562
begin timestamp : 1700709315.4759452; tag : query; duration : 0.9747638702392578; package_0 : 85384439.0; package_1 : 84629733.0; core_0 : 571580.0; core_1 : 598083.0; nvidia_gpu_0 : 23913
